Restaurant_Name,Food_Type,Price_Range,Average_Rating,Review_Count,Phone_Number,Address
Lowdown Brewery + Kitchen,Breweries-American (New)-Pizza,$$,4.5 stars,460,(720) 524-8065,800 Lincoln StCapitol Hill
Logan Street,Wine Bars-American (New)-Seafood,$$,4.5 stars,90,(720) 617-9400,400 E 7th AveCapitol Hill
Anise-Modern Vietnamese Eatery,Vietnamese-Vegetarian-Noodles,$$,4.5 stars,201,(303) 830-3934,865 N Lincoln StCapitol Hill
Angelo’s Taverna,Italian-Seafood-Bars,$$,4.5 stars,1174,(303) 744-3366,620 E 6th AveAlamo Placita
Counter Culture Brewery + Grille,American (Traditional)-Brewpubs,$$,4.5 stars,35,(720) 638-8786,205 E 7th AveCapitol Hill
ZEPS EPIQ Sandwiches,Sandwiches-Salad-Beer Bar,$,4.5 stars,400,(303) 534-0796,1147 BroadwayCapitol Hill
Potager,American (New),$$$,4 stars,358,(303) 832-5788,1109 Ogden StCapitol Hill
Ivy on 7th,Coffee & Tea-Breakfast & Brunch-American (Traditional),$$,4 stars,145,(720) 828-8180,410 E 7th AveCapitol Hill
Steuben’s Uptown,Diners-Breakfast & Brunch-Cocktail Bars,$$,4 stars,2797,(303) 830-1001,523 E 17th AveUptown
City O’ City,Breakfast & Brunch-Vegan-American (Traditional),$$,4 stars,2204,(303) 831-6443,206 E 13th AveCapitol Hill
Prohibition,American (New)-Cocktail Bars,$$,4 stars,553,(303) 832-4840,504 E Colfax AveUptown
Jelly,American (New)-Breakfast & Brunch-Coffee & Tea,$$,4 stars,1657,(303) 831-6301,600 E 13th AveCapitol Hill
Lou’s,Chicken Shop-Salad,,4 stars,65,(303) 860-2929,701 Grant StCapitol Hill
Unofficial Translation,Asian Fusion-Vegan-Vegetarian,,5 stars,8,(303) 529-3565,1310 Pearl StCapitol Hill
Bar Nun,Bars-American (Traditional),,3.5 stars,6,(720) 532-0757,1225 Logan StCapitol Hill
54thirty,Lounges-Tapas/Small Plates-Cocktail Bars,$$,4 stars,270,(720) 996-1558,Located in Le Méridien Denver DowntownCBD
Lucky Noodles,Thai,,4.5 stars,96,(720) 917-1000,1201 E Colfax AveNortheast
Mile High on the Fly,Mexican,,4.5 stars,12,(720) 380-0197,700 N Lincoln StCapitol Hill
Charlie Brown’s Bar & Grill,American (Traditional)-Dive Bars,$$,3.5 stars,278,(303) 860-1655,980 Grant StCapitol Hill
SubCulture,Sandwiches-Delis-Salad,$,4 stars,310,(303) 420-3232,1300 Pennsylvania StCapitol Hill
DiFranco’s,Delis-Italian-Mediterranean,$$,4.5 stars,521,(720) 253-1244,955 Lincoln StCapitol Hill
